Player,Position,Team,TotalMoney,YearlySalary
Josh Watson,ILB,Broncos,1.763,0.588
Ethan Greenidge,LT,Saints,1.763,0.588
C.J. Moore,S,Lions,1.762,0.587
Jalin Moore,RB,Jets,1.764,0.587
William Sweet,RT,Cardinals,1.762,0.587
Curtis Bolton,ILB,Packers,1.762,0.587
Greg Roberts,34OLB,Packers,1.762,0.587
Kevin Strong,43DT,Lions,1.761,0.587
O'Shea Dugas,RT,Bengals,1.761,0.587
Andrew Wingard,S,Jaguars,1.760,0.587
Devine Ozigbo,RB,Jaguars,1.760,0.587
Ryan Bates,LT,Bills,1.760,0.587
Kyle Phillips,34DE,Jets,1.760,0.587
Jacob Dolegala,QB,Bengals,1.760,0.587
Chase Hansen,ILB,Saints,1.760,0.587
Shy Tuttle,43DT,Saints,1.760,0.587
Justin Johnson,TE,Seahawks,1.760,0.587
Olamide Zaccheaus,WR,Falcons,1.760,0.587
Luke Gifford,43OLB,Cowboys,1.760,0.587
Brandon Knight,RT,Cowboys,1.760,0.587
Shawn Poindexter,WR,49ers,1.760,0.587
Felton Davis,WR,Chiefs,1.760,0.587
Natrez Patrick,ILB,Rams,1.760,0.587
Donnell Greene,LT,Jaguars,1.760,0.587
Austin Fort,TE,Broncos,1.759,0.586
D.J. Montgomery,WR,Browns,1.758,0.586
AJ Cole,P,Raiders,1.758,0.586
Gunner Olszewski,WR,Patriots,1.758,0.586
Tim Ward,43DE,Chiefs,1.758,0.586
Matt Orzech,TE,Jaguars,1.757,0.586
Roderic Teamer,CB,Chargers,1.757,0.586
Adam Choice,RB,Seahawks,1.757,0.586
D'Angelo Ross,CB,Patriots,1.758,0.585
D'Cota Dixon,S,Buccaneers,1.756,0.585
Ira Savage-Lewis,34DE,Texans,1.756,0.585
Brandon Watson,CB,Jaguars,1.755,0.585
Stephen Weatherly,43DE,Vikings,2.340,0.585
Lo Falemaka,C,Browns,1.755,0.585
Jason Moore,WR,Chargers,1.755,0.585
Michael Walker,WR,Jaguars,1.755,0.585
D'ernest Johnson,RB,Browns,1.755,0.585
Joshua Simmons,CB,Bears,1.755,0.585
Chris Peace,43DE,Giants,1.755,0.585
Taj McGowan,RB,Jaguars,1.755,0.585
Steven Mitchell,WR,Texans,1.755,0.585
John Lovett,QB,Chiefs,1.755,0.585
Cody Brown,CB,Jaguars,1.755,0.585
Cole Mazza,LS,Chargers,1.755,0.585
Tae Hayes,CB,Jaguars,1.755,0.585
Sam Eguavoen,LB,Dolphins,1.755,0.585
Duke Williams,WR,Bills,1.755,0.585
Brett Toth,LT,Cardinals,1.755,0.585
Nico Falah,LG,Broncos,1.738,0.579
Eddy Pineiro,K,Bears,1.735,0.578
Sharif Finch,ILB,Titans,1.726,0.575
Olasunkanmi Adeniyi,34OLB,Steelers,1.725,0.575
Darrel Williams,RB,Chiefs,1.725,0.575
Phillip Lindsay,RB,Broncos,1.725,0.575
Kevin Toliver II,CB,Bears,1.725,0.575
Holton Hill,CB,Vikings,1.725,0.575
George Odum,S,Colts,1.723,0.574
Trent Sherfield,WR,Cardinals,1.720,0.573
Brandon Facyson,CB,Chargers,1.720,0.573
Danny Johnson,CB,Redskins,1.720,0.573
J.C. Jackson,CB,Patriots,1.720,0.573
Poona Ford,43DT,Seahawks,1.718,0.573
Darious Williams,CB,Rams,1.718,0.573
Buddy Howell,RB,Texans,1.718,0.573
Mike Boone,RB,Vikings,1.718,0.573
Matt Gono,T,Falcons,1.718,0.573
Dennis Gardeck,34OLB,Cardinals,1.716,0.572
Ben Niemann,ILB,Chiefs,1.716,0.572
Ike Boettger,LG,Bills,1.716,0.572
Tim Boyle,QB,Packers,1.716,0.572
Nick Gates,G,Giants,1.715,0.572
Tre Herndon,CB,Jaguars,1.715,0.572
Tavierre Thomas,CB,Browns,1.715,0.572
Tae Davis,ILB,Browns,1.715,0.572
Charvarius Ward,CB,Chiefs,1.715,0.572
Chris Board,ILB,Ravens,1.714,0.571
Hercules Mata'afa,43DE,Vikings,1.714,0.571
Raven Greene,S,Packers,1.714,0.571
Zeke Turner,ILB,Cardinals,1.713,0.571
Alex Light,LT,Packers,1.713,0.571
Brandon Zylstra,WR,Panthers,1.710,0.570
KhaDarel Hodge,WR,Browns,0.570,0.570
Josh Carraway,34OLB,Rams,0.570,0.570
Marcus Kemp,WR,Chiefs,0.570,0.570
Jeff Wilson,RB,49ers,0.570,0.570
Trent Sieg,LS,Raiders,0.570,0.570
Davontae Harris,CB,Broncos,0.570,0.570
Frankie Luvu,34OLB,Jets,0.570,0.570
Taybor Pepper,LS,Dolphins,0.570,0.570
John Kelly,RB,Rams,0.570,0.570
De'Lance Turner,RB,Dolphins,0.570,0.570
Josh Adams,RB,Jets,0.570,0.570
Mark Walton,RB,Dolphins,0.570,0.570
Makinton Dorleant,CB,Raiders,0.570,0.570
Jamil Demby,LG,Rams,1.710,0.570
Cameron Hunt,RG,Raiders,0.570,0.570
Corey Thompson,43OLB,Bills,1.710,0.570
Tim Patrick,WR,Broncos,0.570,0.570
Daniel Carlson,K,Raiders,0.570,0.570
Craig James,CB,Eagles,0.570,0.570
Lance Lenoir,TE,Cowboys,1.710,0.570
Kai Nacua,S,Colts,0.570,0.570
Tre'Von Johnson,ILB,Chargers,0.570,0.570
James Crawford,ILB,Dolphins,1.710,0.570
Austin Calitro,ILB,Jaguars,0.570,0.570
J.T. Gray,S,Saints,0.570,0.570
Jermaine Grace,ILB,Falcons,0.570,0.570
Chad Slade,RG,Giants,0.570,0.570
Gus Edwards,RB,Ravens,0.570,0.570
Devante Downs,ILB,Giants,0.570,0.570
Emmanuel Ellerbee,43OLB,Seahawks,0.570,0.570
Jordan Simmons,G,Seahawks,0.570,0.570
Colby Wadman,P,Broncos,1.710,0.570
Efe Obada,43DE,Panthers,0.570,0.570
A.J. Moore,CB,Texans,1.710,0.570
DeAndre Carter,WR,Texans,0.570,0.570
Corey Bojorquez,P,Bills,1.710,0.570
Chad Beebe,WR,Vikings,1.710,0.570
Reggie Gilbert,34OLB,Titans,0.570,0.570
Steve Longa,43OLB,Lions,0.570,0.570
Chandon Sullivan,CB,Packers,0.570,0.570
Jake Kumerow,WR,Packers,0.570,0.570
Robert Tonyan,TE,Packers,0.570,0.570
Joshua Kalu,S,Titans,1.710,0.570
Tremon Smith,CB,Packers,0.570,0.570
Devante Mays,RB,Jaguars,0.570,0.570
Zach Sieler,34DE,Ravens,0.570,0.570
Jordan Roos,RG,Seahawks,0.570,0.570
Michael Badgley,K,Chargers,1.710,0.570
Justin Murray,RT,Cardinals,0.570,0.570
Mike Love,43DE,Bills,1.710,0.570
Kevin Peterson,CB,Cardinals,0.570,0.570
Blake Jarwin,TE,Cowboys,1.692,0.564
Breon Borders,CB,Jaguars,1.125,0.563
Brandon Thomas,LG,Jaguars,1.125,0.563
Eric Smith,LT,Giants,1.125,0.563
Antony Auclair,TE,Buccaneers,1.685,0.562
Sean Culkin,TE,Chargers,1.677,0.559
Dylan Cole,ILB,Texans,1.677,0.559
Corey Clement,RB,Eagles,1.675,0.558
Eric Wilson,43OLB,Vikings,1.675,0.558
Chase Allen,ILB,Dolphins,1.675,0.558
Austin Carr,WR,Saints,1.673,0.558
Nicholas Morrow,LB,Raiders,1.673,0.558
Patrick Ricard,34DE,Ravens,1.672,0.557
Cethan Carter,TE,Bengals,1.671,0.557
Adam Butler,43DT,Patriots,1.670,0.557
Austin Ekeler,RB,Chargers,1.670,0.557
Cooper Rush,QB,Cowboys,1.670,0.557
Kendrick Bourne,WR,49ers,1.670,0.557
Matt Breida,RB,49ers,1.670,0.557
Taysom Hill,QB,Saints,1.670,0.557
Matt Haack,P,Dolphins,1.669,0.556
Josh Woods,ILB,Bears,1.110,0.555
Keelan Cole,WR,Jaguars,1.665,0.555
Keionta Davis,43DE,Patriots,1.665,0.555
Michael Davis,CB,Chargers,1.665,0.555
Joe Ostman,43DE,Eagles,1.103,0.551
K.C. McDermott,LT,Jaguars,1.100,0.550
Kavon Frazier,S,Cowboys,2.170,0.543
Andrew Vollert,TE,Chargers,1.080,0.540
Cedrick Wilson,WR,Cowboys,1.080,0.540
Byron Pringle,WR,Chiefs,1.080,0.540
Steven Parker,S,Dolphins,1.080,0.540
Noah Dawkins,ILB,Buccaneers,1.080,0.540
Devlin Hodges,QB,Steelers,1.080,0.540
Stephen Carlson,TE,Browns,1.080,0.540
Jomal Wiltz,CB,Dolphins,1.080,0.540
Nate Trewyn,C,Buccaneers,1.080,0.540
Brandon Powell,WR,Falcons,1.080,0.540
Jeremy Reaves,S,Redskins,1.080,0.540
Abdullah Anderson,34DT,Bears,1.080,0.540
John Atkins,43DT,Lions,1.080,0.540
Dare Ogunbowale,RB,Buccaneers,1.080,0.540
Alex Bars,LG,Bears,1.080,0.540
Robert Jackson,CB,Browns,1.080,0.540
Zach Triner,LS,Buccaneers,1.080,0.540
Jakob Johnson,FB,Patriots,1.080,0.540
Dan Skipper,LT,Texans,1.080,0.540
C.J. Board,WR,Jaguars,1.080,0.540
Richie Brown,ILB,Falcons,1.080,0.540
Fred Brown,WR,Broncos,1.080,0.540
David Steinmetz,RT,Texans,1.080,0.540
Greg Dortch,WR,Panthers,1.080,0.540
Billy Brown,TE,Colts,1.080,0.540
Ty Long,K,Chargers,1.080,0.540
Steve Ishmael,WR,Colts,1.080,0.540
Alex Singleton,43OLB,Eagles,1.080,0.540
Kurt Benkert,QB,Falcons,1.080,0.540
Taveze Calhoun,CB,Falcons,1.080,0.540
Jaeden Graham,TE,Falcons,1.080,0.540
Jake Gervase,S,Rams,1.080,0.540
Alex Gray,TE,Falcons,1.080,0.540
Keaton Sutherland,RG,Dolphins,1.080,0.540
Willie Harvey,43OLB,Browns,1.080,0.540
Andre Patton,Wr,Chargers,1.080,0.540
Albert Huggins,43DT,Eagles,1.080,0.540
Anthony Rush,43DT,Eagles,1.080,0.540
Ashton Dulin,WR,Colts,1.080,0.540
Jonathan Harris,34DE,Broncos,1.080,0.540
Calvin Anderson,LT,Broncos,1.080,0.540
Christian Blake,WR,Falcons,1.080,0.540
Josiah Tauaefa,ILB,Giants,1.080,0.540
Andrew Brown,43DE,Bengals,1.080,0.540
Daniel Ekuale,43DT,Browns,1.080,0.540
Stanley Morgan,WR,Bengals,1.080,0.540
Ventell Bryant,WR,Cowboys,1.080,0.540
Austin Schlottmann,G,Broncos,1.080,0.540
Davion Davis,WR,Vikings,1.080,0.540
Simeon Thomas,CB,Redskins,1.080,0.540
Travin Howard,ILB,Rams,1.080,0.540
Chris Lammons,CB,Dolphins,1.080,0.540
Shakial Taylor,CB,Colts,1.080,0.540
Cameron Johnston,P,Eagles,1.065,0.533
Jason Croom,TE,Bills,1.054,0.527
Levi Wallace,CB,Bills,1.050,0.525
Will Redmond,CB,Packers,1.050,0.525
Javarius Leamon,T,Bengals,1.050,0.525
Daurice Fountain,WR,Colts,1.050,0.525
Ross Dwelley,TE,49ers,1.050,0.525
Brett Maher,K,Cowboys,1.050,0.525
Mo Alie-Cox,TE,Colts,1.050,0.525
Robert Foster,WR,Bills,1.050,0.525
Keith Kirkwood,WR,Saints,1.050,0.525
Zach Pascal,WR,Colts,1.050,0.525
Grant Haley,CB,Giants,1.050,0.525
Roderick Johnson,LT,Texans,1.050,0.525
Mike Ford,CB,Lions,1.050,0.525
Trey Marshall,S,Broncos,1.050,0.525
Nick Mullens,QB,49ers,1.050,0.525
Tanner Hudson,TE,Buccaneers,1.050,0.525
Pharaoh Brown,TE,Browns,1.050,0.525
Tony Brown,CB,Packers,1.050,0.525
Deon Yelder,TE,Chiefs,1.050,0.525
Niles Scott,43DT,Bengals,1.050,0.525
Tyler Lancaster,34DT,Packers,1.050,0.525
Malik Turner,WR,Seahawks,1.050,0.525
Andrew Wylie,LG,Chiefs,1.050,0.525
Emmanuel Moseley,CB,49ers,1.050,0.525
Johnny Mundt,TE,Rams,1.050,0.525
Trenton Scott,LT,Chargers,1.050,0.525
Dontrell Hilliard,RB,Browns,1.050,0.525
Antwaun Woods,43DT,Cowboys,1.050,0.525
Anthony Firkser,RB,Titans,1.050,0.525
Dylan Cantrell,WR,Chargers,1.050,0.525
Cameron Batson,WR,Titans,1.050,0.525
Dee Virgin,CB,Lions,1.050,0.525
Horace Richardson,CB,Broncos,1.560,0.520
Brandon Greene,RG,Panthers,0.505,0.505
Diontae Spencer,WR,Broncos,0.501,0.501
Marcus Baugh,TE,Panthers,0.500,0.500
Kitt O'Brien,RG,Panthers,0.500,0.500
Michael Jackson Sr.,CB,Lions,0.495,0.495
Trent Harris,43DE,Dolphins,0.495,0.495
Jake Rodgers,RT,Broncos,0.495,0.495
Isaiah Searight,TE,Giants,0.495,0.495
Brett Rypien,QB,Broncos,0.495,0.495
Lavon Hooks,34DE,Steelers,0.495,0.495
Josh Watson,ILB,Broncos,0.495,0.495
Coleman Shelton,RG,Rams,0.495,0.495
Joey Ivie,43DT,Chiefs,0.495,0.495
Tony Brooks-James,Rb,Steelers,0.495,0.495
Bryant Mitchell,WR,Buccaneers,0.495,0.495
Jeremy Boykins,CB,Seahawks,0.495,0.495
Robert Spillane,ILB,Steelers,0.495,0.495
Bennett Jackson,CB,Ravens,0.495,0.495
Amba Etta-Tawo,WR,Giants,0.495,0.495
Myles Humphrey,34DE,Redskins,0.495,0.495
David Wells,TE,Chiefs,0.495,0.495
Allen Lazard,WR,Packers,0.495,0.495
Kam Kelly,S,Steelers,0.495,0.495
Randin Crecelius,C,Ravens,0.495,0.495
Andrew Lauderdale,RG,49ers,0.495,0.495
Reggie Bonnafon,RB,Panthers,0.495,0.495
D.J. Killings,CB,Raiders,0.495,0.495
Fish Smithson,CB,Ravens,0.495,0.495
Orion Stewart,S,Buccaneers,0.495,0.495
Sam Ficken,K,Jets,0.495,0.495
Daniel Brunskill,RG,49ers,0.495,0.495
Krishawn Hogan,WR,Saints,0.495,0.495
Rolan Milligan,S,Colts,0.495,0.495
J.P. Holtz,TE,Bears,0.495,0.495
Colton Jumper,43OLB,Saints,0.495,0.495
Joey Slye,K,Panthers,0.495,0.495
Josh Woodrum,QB,Redskins,0.495,0.495
Kendrick Norton,43DT,Dolphins,0.975,0.488
Kyle Allen,QB,Panthers,0.975,0.488
Dallin Leavitt,S,Raiders,0.975,0.488
